"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange"
"BTN","Ballantyne Strong, Inc",6.95,"$99.06M",NA,"Miscellaneous","Industrial Machinery/Components","AMEX"
"CQP","Cheniere Energy Partners, LP",29.52,"$9.97B",2007,"Public Utilities","Oil/Gas Transmission","AMEX"
"ARTX","Arotech Corporation",3.75,"$99.1M",1994,"Miscellaneous","Industrial Machinery/Components","NASDAQ"
"BCOR","Blucora, Inc.",22.9,"$984.24M",NA,"Technology","EDP Services","NASDAQ"
"CDW","CDW Corporation",63.37,"$9.95B",2013,"Consumer Services","Catalog/Specialty Distribution","NASDAQ"
"CEVA","CEVA, Inc.",46.2,"$995.76M",NA,"Technology","Semiconductors","NASDAQ"
"CFBI","Community First Bancshares, Inc.",13.18,"$99.35M",2017,"Finance","Savings Institutions","NASDAQ"
"CHTR","Charter Communications, Inc.",370.26,"$99.06B",NA,"Consumer Services","Television Services","NASDAQ"
"CLSN","Celsion Corporation",1.69,"$9.94M",NA,"Health Care","Major Pharmaceuticals","NASDAQ"
"DGRS","WisdomTree U.S. SmallCap Quality Dividend Growth Fund",33.555,"$98.99M",NA,NA,NA,"NASDAQ"
"DISCK","Discovery Communications, Inc.",25.5,"$9.81B",NA,"Consumer Services","Television Services","NASDAQ"
"DOX","Amdocs Limited",67.09,"$9.83B",NA,"Technology","EDP Services","NASDAQ"
"DXLG","Destination XL Group, Inc.",2,"$98.53M",NA,"Consumer Services","Clothing/Shoe/Accessory Stores","NASDAQ"
"EXTR","Extreme Networks, Inc.",9.03,"$994.81M",1999,"Technology","Computer Communications Equipment","NASDAQ"
"FALC","FalconStor Software, Inc.",0.225,"$9.99M",NA,"Technology","Computer Software: Prepackaged Software","NASDAQ"
"FORD","Forward Industries, Inc.",1.1183,"$9.82M",NA,"Consumer Non-Durables","Plastic Products","NASDAQ"
"GEVO","Gevo, Inc.",0.651,"$9.81M",2011,"Basic Industries","Major Chemicals","NASDAQ"
"GILD","Gilead Sciences, Inc.",75.94,"$99.23B",1992,"Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ"
"HFBC","HopFed Bancorp, Inc.",14.75,"$99.08M",NA,"Finance","Major Banks","NASDAQ"
"IBB","iShares Nasdaq Biotechnology Index Fund",321.82,"$9.94B",NA,NA,NA,"NASDAQ"
"IOTS","Adesto Technologies Corporation",4.75,"$98.98M",2015,"Technology","Semiconductors","NASDAQ"
"JBHT","J.B. Hunt Transport Services, Inc.",90.37,"$9.89B",NA,"Transportation","Trucking Freight/Courier Services","NASDAQ"
"LTRPB","Liberty TripAdvisor Holdings, Inc.",13.1,"$982.54M",NA,"Technology","EDP Services","NASDAQ"
"MSBF","MSB Financial Corp.",17.2501,"$98.83M",NA,"Finance","Savings Institutions","NASDAQ"
"PCLN","The Priceline Group Inc. ",2024.06,"$99.47B",1999,"Miscellaneous","Business Services","NASDAQ"
"PETS","PetMed Express, Inc.",48.37,"$992.82M",NA,"Health Care","Medical/Nursing Services","NASDAQ"
"SGLB","Sigma Labs, Inc.",2.16,"$9.87M",NA,"Consumer Durables","Miscellaneous manufacturing industries","NASDAQ"
"SGRY","Surgery Partners, Inc.",20.3,"$991.01M",2015,"Health Care","Hospital/Nursing Management","NASDAQ"
"SHLD","Sears Holdings Corporation",9.21,"$987.92M",NA,"Consumer Services","Department/Specialty Retail Stores","NASDAQ"
"SONC","Sonic Corp.",23.68,"$990.04M",1991,"Consumer Services","Restaurants","NASDAQ"
"SYNL","Synalloy Corporation",11.4,"$98.94M",NA,"Basic Industries","Steel/Iron Ore","NASDAQ"
"TGA","Transglobe Energy Corp",1.38,"$99.64M",NA,"Energy","Oil & Gas Production","NASDAQ"
"AGX","Argan, Inc.",64.35,"$998.69M",NA,"Basic Industries","Engineering & Construction","NYSE"
"BWA","BorgWarner Inc.",46.91,"$9.96B",NA,"Capital Goods","Auto Parts:O.E.M.","NYSE"
"CGG","CGG",4.49,"$99.38M",NA,"Energy","Oil & Gas Production","NYSE"
"ECA","Encana Corporation",10.16,"$9.89B",NA,"Energy","Oil & Gas Production","NYSE"
"ETV","Eaton Vance Corporation",15.4,"$985.07M",2005,NA,NA,"NYSE"
"EXR","Extra Space Storage Inc",77.92,"$9.82B",2004,"Consumer Services","Real Estate Investment Trusts","NYSE"
"FBK","FB Financial Corporation",34.1,"$987.81M",2016,"Finance","Major Banks","NYSE"
"FRO","Frontline Ltd.",5.82,"$988.29M",NA,"Transportation","Marine Transportation","NYSE"
"HK","Halcon Resources Corporation",6.67,"$994.52M",NA,"Energy","Oil & Gas Production","NYSE"
"MSCI","MSCI Inc",110.37,"$9.98B",NA,"Miscellaneous","Business Services","NYSE"
"MYI","Blackrock MuniYield Quality Fund III, Inc.",14.56,"$990.79M",NA,NA,NA,"NYSE"
"NE","Noble Corporation",4.04,"$988.53M",NA,"Energy","Oil & Gas Production","NYSE"
"NMI","Nuveen Municipal Income Fund, Inc.",11.8,"$98.38M",1988,NA,NA,"NYSE"
"NSA","National Storage Affiliates Trust",22.51,"$996.21M",2015,"Consumer Services","Real Estate Investment Trusts","NYSE"
"NSH","Nustar GP Holdings, LLC",23.25,"$998.63M",NA,"Energy","Natural Gas Distribution","NYSE"
"NVR","NVR, Inc.",2625,"$9.84B",NA,"Capital Goods","Homebuilding","NYSE"
"RNP","Cohen & Steers Reit and Preferred Income Fund Inc",20.94,"$996.05M",2003,NA,NA,"NYSE"
"SQ","Square, Inc.",26.2,"$9.8B",2015,"Technology","Computer Software: Prepackaged Software","NYSE"
